step,episode,ep_reward,ep_length,ep_kills,ep_max_x,died
16266,635,-7.36,21,0,26.0,1
16301,636,-6.52,35,0,22.3,1
16321,637,-0.81,20,0,91.4,1
16342,638,-2.49,21,0,67.2,1
16376,639,-7.52,34,0,57.1,1
16397,640,-2.50,21,0,66.3,1
16431,641,2.82,34,1,143.8,1
16465,642,-3.52,34,1,63.0,1
16476,643,-8.11,11,0,0.8,1
16488,644,-5.13,12,1,26.7,1
16509,645,1.22,21,1,120.9,1
16530,646,-5.86,21,0,17.8,1
16551,647,-3.26,21,0,55.1,1
16572,648,-2.64,21,1,64.1,1
16593,649,-1.07,21,0,87.5,1
16606,650,-7.44,13,0,0.0,1
16627,651,-4.27,21,1,48.4,1
16639,652,-5.95,12,0,15.5,1
16660,653,-6.24,21,0,20.5,1
16672,654,-5.41,12,0,24.7,1
16693,655,-1.89,21,0,75.2,1
16721,656,-5.88,28,0,79.4,1
16770,657,-2.05,49,1,72.2,1
16798,658,-7.04,28,0,17.2,1
16844,659,-2.67,46,1,62.8,1
16865,660,-6.45,21,0,21.0,1
16886,661,-3.79,21,0,53.8,1
16924,662,-7.85,38,1,29.5,1
16958,663,0.43,34,1,108.8,1
16985,664,-3.13,27,1,63.2,1
17019,665,-4.66,34,1,33.9,1
17040,666,-5.95,21,0,16.5,1
17061,667,-0.46,21,0,96.3,1
17082,668,-3.32,21,0,54.2,1
17103,669,1.15,21,1,120.0,1
17124,670,-7.89,21,0,14.3,1
17146,671,-1.51,22,0,81.7,1
17167,672,8.25,21,0,224.6,1
17195,673,2.25,28,0,136.4,1
17216,674,-4.98,21,1,48.9,1
17237,675,-6.39,21,1,14.5,1
17255,676,-5.90,18,0,16.3,1
17275,677,-1.33,20,0,83.5,1
17296,678,-7.14,21,0,41.2,1
17316,679,-2.28,20,0,69.4,1
17337,680,-4.09,21,1,46.0,1
17358,681,-8.15,21,0,27.6,1
17379,682,-2.71,21,0,75.8,1
17399,683,-7.21,20,0,5.0,1
17412,684,-0.88,13,0,90.7,1
17433,685,5.25,21,0,180.3,1
17452,686,9.64,19,0,245.2,1
17464,687,-1.30,12,0,84.2,1
17485,688,8.97,21,1,234.0,1
17507,689,5.65,22,0,186.1,1
17519,690,-2.62,12,0,64.5,1
17537,691,9.39,18,0,241.8,1
17549,692,-0.12,12,0,101.6,1
17570,693,10.63,21,0,259.7,1
17591,694,8.53,21,0,229.1,1
17612,695,8.39,21,0,226.7,1
17631,696,3.17,19,0,149.6,1
17644,697,-1.33,13,0,83.5,1
17670,698,20.58,26,0,406.3,1
17683,699,3.67,13,0,157.0,1
17695,700,3.85,12,0,159.6,1
17716,701,-1.63,21,0,97.0,1
